Cronograma da Complementação da União-VAAF 2026 - Portaria Interministerial MEC MF nº 11, de 28 de Agosto de 2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;"Janeiro do
Ano Seguinte";Total
AL;AGUA BRANCA;2700102; 400.424,55 ; 440.467,01 ; 480.509,47 ; 520.551,92 ; 614.683,52 ; 652.132,40 ; 652.132,40 ; 695.607,89 ; 738.131,08 ; 715.843,41 ; 715.843,41 ; 715.843,41 ; 1.322.445,17 ; 8.664.615,63 
AL;ANADIA;2700201; 259.182,60 ; 285.100,86 ; 311.019,12 ; 336.937,38 ; 397.865,89 ; 422.105,41 ; 422.105,41 ; 450.245,77 ; 458.333,03 ; 460.665,14 ; 460.665,14 ; 460.665,14 ; 851.030,24 ; 5.575.921,10 
AL;ARAPIRACA;2700300; 2.422.812,62 ; 2.665.093,88 ; 2.907.375,14 ; 3.149.656,40 ; 3.719.209,93 ; 3.945.798,48 ; 3.945.798,48 ; 4.208.851,72 ; 4.299.508,11 ; 4.308.325,93 ; 4.308.325,93 ; 4.308.325,93 ; 7.959.177,61 ; 52.148.260,15 
AL;ATALAIA;2700409; 665.512,61 ; 732.063,87 ; 798.615,13 ; 865.166,39 ; 1.021.614,75 ; 1.083.855,44 ; 1.083.855,44 ; 1.156.112,47 ; 1.192.036,36 ; 1.184.955,50 ; 1.184.955,50 ; 1.184.955,50 ; 2.189.080,27 ; 14.342.779,24 
AL;BARRA DE SANTO ANTONIO;2700508; 272.294,47 ; 299.523,91 ; 326.753,36 ; 353.982,80 ; 417.993,64 ; 443.459,42 ; 443.459,42 ; 473.023,38 ; 483.756,80 ; 484.278,14 ; 484.278,14 ; 484.278,14 ; 894.652,76 ; 5.861.734,39 
AL;BARRA DE SAO MIGUEL;2700607; 160.653,23 ; 176.718,55 ; 192.783,88 ; 208.849,20 ; 246.615,48 ; 261.640,24 ; 261.640,24 ; 279.082,92 ; 284.169,87 ; 285.551,53 ; 285.551,53 ; 285.551,53 ; 527.526,33 ; 3.456.334,54 
AL;BATALHA;2700706; 262.720,05 ; 288.992,06 ; 315.264,07 ; 341.536,08 ; 403.296,17 ; 427.866,52 ; 427.866,52 ; 456.390,96 ; 468.876,80 ; 467.543,47 ; 467.543,47 ; 467.543,47 ; 863.737,23 ; 5.659.176,89 
AL;BELEM;2700805; 138.733,72 ; 152.607,09 ; 166.480,46 ; 180.353,83 ; 212.967,28 ; 225.942,06 ; 225.942,06 ; 241.004,87 ; 245.333,78 ; 246.582,09 ; 246.582,09 ; 246.582,09 ; 455.534,39 ; 2.984.645,79 
AL;BELO MONTE;2700904; 174.924,50 ; 192.416,95 ; 209.909,40 ; 227.401,85 ; 268.523,01 ; 284.882,47 ; 284.882,47 ; 303.874,63 ; 310.112,10 ; 311.014,14 ; 311.014,14 ; 311.014,14 ; 574.565,82 ; 3.764.535,64 
AL;BOCA DA MATA;2701001; 405.051,63 ; 445.556,79 ; 486.061,96 ; 526.567,12 ; 621.786,45 ; 659.668,07 ; 659.668,07 ; 703.645,94 ; 716.284,75 ; 719.929,38 ; 719.929,38 ; 719.929,38 ; 1.329.993,56 ; 8.714.072,46 
AL;BRANQUINHA;2701100; 255.104,24 ; 280.614,67 ; 306.125,09 ; 331.635,51 ; 391.605,28 ; 415.463,38 ; 415.463,38 ; 443.160,94 ; 451.120,96 ; 453.416,36 ; 453.416,36 ; 453.416,36 ; 837.638,89 ; 5.488.181,44 
AL;CACIMBINHAS;2701209; 190.520,89 ; 209.572,98 ; 228.625,07 ; 247.677,15 ; 292.464,70 ; 310.282,78 ; 310.282,78 ; 330.968,30 ; 339.168,52 ; 338.938,21 ; 338.938,21 ; 338.938,21 ; 626.152,59 ; 4.102.530,40 
AL;CAJUEIRO;2701308; 336.550,81 ; 370.205,89 ; 403.860,97 ; 437.516,05 ; 516.632,25 ; 548.107,46 ; 548.107,46 ; 584.647,96 ; 595.149,34 ; 598.177,61 ; 598.177,61 ; 598.177,61 ; 1.105.070,02 ; 7.240.381,04 
AL;CAMPESTRE;2701357; 132.057,68 ; 145.263,45 ; 158.469,22 ; 171.674,99 ; 202.719,04 ; 215.069,46 ; 215.069,46 ; 229.407,43 ; 233.528,02 ; 234.716,26 ; 234.716,26 ; 234.716,26 ; 433.613,53 ; 2.841.021,07 
AL;CAMPO ALEGRE;2701407; 1.029.720,48 ; 1.132.692,53 ; 1.235.664,57 ; 1.338.636,62 ; 1.580.702,77 ; 1.677.005,26 ; 1.677.005,26 ; 1.788.805,61 ; 1.820.935,94 ; 1.830.201,30 ; 1.830.201,30 ; 1.830.201,30 ; 3.381.103,80 ; 22.152.876,76 
AL;CAMPO GRANDE;2701506; 189.378,28 ; 208.316,11 ; 227.253,94 ; 246.191,77 ; 290.710,72 ; 308.421,93 ; 308.421,93 ; 328.983,39 ; 334.892,55 ; 336.596,57 ; 336.596,57 ; 336.596,57 ; 621.826,65 ; 4.074.186,97 
AL;CANAPI;2701605; 452.326,32 ; 497.558,94 ; 542.791,58 ; 588.024,21 ; 694.356,84 ; 736.659,73 ; 736.659,73 ; 785.770,38 ; 805.379,83 ; 804.711,61 ; 804.711,61 ; 804.711,61 ; 1.486.619,79 ; 9.740.282,15 
AL;CAPELA;2701704; 305.336,69 ; 335.870,36 ; 366.404,03 ; 396.937,70 ; 468.716,10 ; 497.272,08 ; 497.272,08 ; 530.423,55 ; 542.890,47 ; 543.103,44 ; 543.103,44 ; 543.103,44 ; 1.003.326,30 ; 6.573.759,70 
AL;CARNEIROS;2701803; 191.662,22 ; 210.828,45 ; 229.994,67 ; 249.160,89 ; 294.216,75 ; 312.141,56 ; 312.141,56 ; 332.951,00 ; 342.251,27 ; 341.113,48 ; 341.113,48 ; 341.113,48 ; 630.171,17 ; 4.128.859,99 
AL;CHA PRETA;2701902; 100.958,46 ; 111.054,30 ; 121.150,15 ; 131.246,00 ; 154.979,25 ; 164.421,19 ; 164.421,19 ; 175.382,60 ; 179.283,68 ; 179.544,70 ; 179.544,70 ; 179.544,70 ; 331.689,89 ; 2.173.220,81 
AL;COITE DO NOIA;2702009; 199.534,06 ; 219.487,47 ; 239.440,88 ; 259.394,28 ; 306.300,65 ; 324.961,66 ; 324.961,66 ; 346.625,77 ; 355.442,34 ; 355.004,20 ; 355.004,20 ; 355.004,20 ; 655.832,81 ; 4.296.994,19 
AL;COLONIA LEOPOLDINA;2702108; 320.064,11 ; 352.070,52 ; 384.076,93 ; 416.083,34 ; 491.323,84 ; 521.257,18 ; 521.257,18 ; 556.007,66 ; 565.994,61 ; 568.874,52 ; 568.874,52 ; 568.874,52 ; 1.050.935,66 ; 6.885.694,60 
AL;COQUEIRO SECO;2702207; 86.660,27 ; 95.326,30 ; 103.992,33 ; 112.658,36 ; 133.030,41 ; 141.135,13 ; 141.135,13 ; 150.544,14 ; 155.068,39 ; 154.278,79 ; 154.278,79 ; 154.278,79 ; 285.013,79 ; 1.867.400,64 
AL;CORURIPE;2702306; 1.031.515,68 ; 1.134.667,25 ; 1.237.818,82 ; 1.340.970,39 ; 1.583.458,56 ; 1.679.928,94 ; 1.679.928,94 ; 1.791.924,20 ; 1.876.815,87 ; 1.840.655,07 ; 1.840.655,07 ; 1.840.655,07 ; 3.400.416,04 ; 22.279.409,88 
AL;CRAIBAS;2702355; 523.611,45 ; 575.972,59 ; 628.333,73 ; 680.694,88 ; 803.785,19 ; 852.754,87 ; 852.754,87 ; 909.605,19 ; 931.244,97 ; 931.385,42 ; 931.385,42 ; 931.385,42 ; 1.720.636,29 ; 11.273.550,27 
AL;DELMIRO GOUVEIA;2702405; 714.863,13 ; 786.349,44 ; 857.835,76 ; 929.322,07 ; 1.097.371,73 ; 1.164.227,82 ; 1.164.227,82 ; 1.241.843,01 ; 1.285.463,62 ; 1.273.518,41 ; 1.273.518,41 ; 1.273.518,41 ; 2.352.690,91 ; 15.414.750,56 
