 ANEXO V ;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de Agosto de 2026;;;;;;;;;;;;;;;;
 Cronograma de Desembolso da Complementação da União-VAAT ao Fundeb no Ano de 2026 (art. 16, § 2º da Lei nº 14.113/2020) ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;"Janeiro do
Ano Seguinte";Total
AC;ACRELANDIA;1200013; 120.740,11 ; 132.814,12 ; 144.888,13 ; 156.962,14 ; 169.346,25 ; 180.881,32 ; 180.881,32 ; 192.940,08 ; 231.874,30 ; 231.874,01 ; 231.874,01 ; 231.874,01 ; 428.362,80 ; 2.635.312,60 
AC;ASSIS BRASIL;1200054; 94.672,93 ; 104.140,23 ; 113.607,52 ; 123.074,81 ; 132.804,82 ; 141.850,86 ; 141.850,86 ; 151.307,58 ; 166.038,63 ; 166.038,42 ; 166.038,42 ; 166.038,42 ; 306.738,49 ; 1.974.201,99 
AC;BRASILEIA;1200104; 403.386,58 ; 443.725,24 ; 484.063,90 ; 524.402,55 ; 566.041,53 ; 604.597,62 ; 604.597,62 ; 644.904,12 ; 718.791,00 ; 718.790,11 ; 718.790,11 ; 718.790,11 ; 1.327.888,84 ; 8.478.769,33 
AC;BUJARI;1200138; 352.968,07 ; 388.264,89 ; 423.561,69 ; 458.858,50 ; 495.389,88 ; 529.133,50 ; 529.133,50 ; 564.409,07 ; 566.624,02 ; 566.623,32 ; 566.623,32 ; 566.623,32 ; 1.046.776,76 ; 7.054.989,84 
AC;CAPIXABA;1200179; 110.398,78 ; 121.438,65 ; 132.478,53 ; 143.518,41 ; 154.835,30 ; 165.381,95 ; 165.381,95 ; 176.407,41 ; 200.316,52 ; 200.316,27 ; 200.316,27 ; 200.316,27 ; 370.063,22 ; 2.341.169,53 
AC;CRUZEIRO DO SUL;1200203; 1.839.233,66 ; 2.023.157,02 ; 2.207.080,39 ; 2.391.003,75 ; 2.581.075,00 ; 2.756.885,68 ; 2.756.885,68 ; 2.940.678,06 ; 3.432.088,08 ; 3.432.083,83 ; 3.432.083,83 ; 3.432.083,83 ; 6.340.412,73 ; 39.564.751,54 
AC;EPITACIOLANDIA;1200252; 440.526,69 ; 484.579,36 ; 528.632,03 ; 572.684,70 ; 618.236,04 ; 660.347,37 ; 660.347,37 ; 704.370,52 ; 753.209,30 ; 753.208,37 ; 753.208,37 ; 753.208,37 ; 1.391.472,94 ; 9.074.031,43 
AC;FEIJO;1200302; 1.176.641,09 ; 1.294.305,20 ; 1.411.969,30 ; 1.529.633,41 ; 1.651.501,86 ; 1.763.994,40 ; 1.763.994,40 ; 1.881.594,03 ; 1.979.855,09 ; 1.979.852,64 ; 1.979.852,64 ; 1.979.852,64 ; 3.657.568,84 ; 24.050.615,54 
AC;JORDAO;1200328; 232.882,92 ; 256.171,21 ; 279.459,51 ; 302.747,80 ; 326.701,57 ; 348.954,94 ; 348.954,94 ; 372.218,60 ; 389.391,65 ; 389.391,17 ; 389.391,17 ; 389.391,17 ; 719.359,11 ; 4.745.015,76 
AC;MANCIO LIMA;1200336; 403.536,45 ; 443.890,09 ; 484.243,73 ; 524.597,38 ; 566.263,86 ; 604.835,08 ; 604.835,08 ; 645.157,42 ; 701.460,40 ; 701.459,53 ; 701.459,53 ; 701.459,53 ; 1.295.872,45 ; 8.379.070,53 
