Anexo VII;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de agosto de 2026;;;;;;;;;;;;;;;;
Cronograma de Desembolso da Complementação da União-VAAR ao Fundeb no Ano de 2026 (art. 16, § 2º, da Lei nº 14.113/2020);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código 
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Janeiro do ano seguinte;Total
AC;ASSIS BRASIL;1200054; 49.783,47 ; 54.761,82 ; 59.740,17 ; 64.718,51 ; 69.436,09 ; 74.610,02 ; 74.610,02 ; 79.584,02 ; 81.330,90 ; 81.484,83 ; 81.484,83 ; 81.484,83 ; 150.534,62 ; 1.003.564,13 
AC;EPITACIOLANDIA;1200252; 49.755,23 ; 54.730,76 ; 59.706,28 ; 64.681,80 ; 69.377,35 ; 74.562,88 ; 74.562,88 ; 79.533,74 ; 81.455,84 ; 81.456,95 ; 81.456,95 ; 81.456,95 ; 150.483,11 ; 1.003.220,72 
AC;JORDAO;1200328; 89.442,67 ; 98.386,93 ; 107.331,20 ; 116.275,47 ; 124.750,60 ; 134.046,74 ; 134.046,74 ; 142.983,19 ; 146.127,22 ; 146.398,98 ; 146.398,98 ; 146.398,98 ; 270.456,66 ; 1.803.044,36 
AC;RODRIGUES ALVES;1200427; 122.404,14 ; 134.644,55 ; 146.884,97 ; 159.125,38 ; 170.723,93 ; 183.445,76 ; 183.445,76 ; 195.675,47 ; 199.977,28 ; 200.349,94 ; 200.349,94 ; 200.349,94 ; 370.125,37 ; 2.467.502,43 
AC;SANTA ROSA DO PURUS;1200435; 62.918,90 ; 69.210,79 ; 75.502,68 ; 81.794,57 ; 87.755,23 ; 94.295,56 ; 94.295,56 ; 100.581,93 ; 102.804,58 ; 102.986,24 ; 102.986,24 ; 102.986,24 ; 190.256,21 ; 1.268.374,73 
AC;TARAUACA;1200609; 130.911,93 ; 144.003,12 ; 157.094,32 ; 170.185,51 ; 182.540,25 ; 196.183,79 ; 196.183,79 ; 209.262,71 ; 214.319,95 ; 214.322,91 ; 214.322,91 ; 214.322,91 ; 395.938,97 ; 2.639.593,07 
AC;XAPURI;1200708; 68.165,10 ; 74.981,61 ; 81.798,12 ; 88.614,63 ; 95.075,72 ; 102.158,80 ; 102.158,80 ; 108.969,39 ; 111.346,53 ; 111.570,07 ; 111.570,07 ; 111.570,07 ; 206.113,93 ; 1.374.092,84 
AL;AGUA BRANCA;2700102; 171.577,65 ; 188.735,41 ; 205.893,17 ; 223.050,94 ; 239.308,96 ; 257.141,54 ; 257.141,54 ; 274.284,31 ; 280.314,67 ; 280.836,71 ; 280.836,71 ; 280.836,71 ; 518.816,18 ; 3.458.774,50 
AL;ALAGOAS;27; 2.971.388,57 ; 3.268.527,43 ; 3.565.666,29 ; 3.862.805,14 ; 4.145.580,98 ; 4.453.492,12 ; 4.453.492,12 ; 4.750.391,59 ; 4.843.704,77 ; 4.862.383,95 ; 4.862.383,95 ; 4.862.383,95 ; 8.982.741,34 ; 59.884.942,20 
AL;ATALAIA;2700409; 288.559,38 ; 317.415,32 ; 346.271,26 ; 375.127,19 ; 402.470,98 ; 432.461,04 ; 432.461,04 ; 461.291,78 ; 471.424,53 ; 472.310,38 ; 472.310,38 ; 472.310,38 ; 872.543,59 ; 5.816.957,25 
AL;BARRA DE SANTO ANTONIO;2700508; 50.316,66 ; 55.348,32 ; 60.379,99 ; 65.411,65 ; 70.200,01 ; 75.414,18 ; 75.414,18 ; 80.441,79 ; 82.021,92 ; 82.338,24 ; 82.338,24 ; 82.338,24 ; 152.111,20 ; 1.014.074,62 
AL;BARRA DE SAO MIGUEL;2700607; 69.832,71 ; 76.815,98 ; 83.799,25 ; 90.782,52 ; 97.398,90 ; 104.657,36 ; 104.657,36 ; 111.634,52 ; 114.094,64 ; 114.302,13 ; 114.302,13 ; 114.302,13 ; 211.161,12 ; 1.407.740,75 
AL;BELEM;2700805; 28.472,49 ; 31.319,74 ; 34.166,99 ; 37.014,24 ; 39.701,41 ; 42.668,69 ; 42.668,69 ; 45.513,27 ; 46.613,16 ; 46.613,84 ; 46.613,84 ; 46.613,84 ; 86.114,15 ; 574.094,35 
AL;BELO MONTE;2700904; 72.485,52 ; 79.734,07 ; 86.982,62 ; 94.231,18 ; 101.101,54 ; 108.633,75 ; 108.633,75 ; 115.876,00 ; 118.405,68 ; 118.641,76 ; 118.641,76 ; 118.641,76 ; 219.178,13 ; 1.461.187,52 
AL;BOCA DA MATA;2701001; 175.926,89 ; 193.519,58 ; 211.112,27 ; 228.704,96 ; 245.374,97 ; 263.659,67 ; 263.659,67 ; 281.236,98 ; 287.421,65 ; 287.955,66 ; 287.955,66 ; 287.955,66 ; 531.967,70 ; 3.546.451,32 
AL;BRANQUINHA;2701100; 127.068,10 ; 139.774,91 ; 152.481,72 ; 165.188,53 ; 177.237,19 ; 190.437,63 ; 190.437,63 ; 203.133,47 ; 207.524,32 ; 207.976,07 ; 207.976,07 ; 207.976,07 ; 384.213,84 ; 2.561.425,55 
AL;CACIMBINHAS;2701209; 87.023,66 ; 95.726,03 ; 104.428,39 ; 113.130,76 ; 121.376,28 ; 130.421,30 ; 130.421,30 ; 139.116,05 ; 142.178,73 ; 142.439,95 ; 142.439,95 ; 142.439,95 ; 263.142,77 ; 1.754.285,12 
AL;CAJUEIRO;2701308; 133.624,22 ; 146.986,64 ; 160.349,06 ; 173.711,48 ; 186.374,52 ; 200.261,49 ; 200.261,49 ; 213.612,25 ; 218.296,56 ; 218.713,62 ; 218.713,62 ; 218.713,62 ; 404.050,34 ; 2.693.668,91 
AL;CAMPESTRE;2701357; 29.046,45 ; 31.951,09 ; 34.855,74 ; 37.760,39 ; 40.524,69 ; 43.534,58 ; 43.534,58 ; 46.436,88 ; 47.349,05 ; 47.531,65 ; 47.531,65 ; 47.531,65 ; 87.809,71 ; 585.398,11 
AL;CAMPO GRANDE;2701506; 54.635,33 ; 60.098,86 ; 65.562,40 ; 71.025,93 ; 76.225,32 ; 81.886,97 ; 81.886,97 ; 87.346,10 ; 89.061,87 ; 89.405,32 ; 89.405,32 ; 89.405,32 ; 165.166,89 ; 1.101.112,60 
AL;CANAPI;2701605; 206.566,19 ; 227.222,81 ; 247.879,42 ; 268.536,04 ; 288.109,63 ; 309.578,54 ; 309.578,54 ; 330.217,11 ; 337.475,40 ; 338.105,44 ; 338.105,44 ; 338.105,44 ; 624.614,12 ; 4.164.094,12 
AL;CAPELA;2701704; 61.855,44 ; 68.040,98 ; 74.226,52 ; 80.412,07 ; 86.298,52 ; 92.708,41 ; 92.708,41 ; 98.888,97 ; 100.831,49 ; 101.220,31 ; 101.220,31 ; 101.220,31 ; 186.993,84 ; 1.246.625,58 
AL;CHA PRETA;2701902; 22.881,84 ; 25.170,02 ; 27.458,20 ; 29.746,39 ; 31.924,02 ; 34.295,10 ; 34.295,10 ; 36.581,45 ; 37.300,03 ; 37.443,87 ; 37.443,87 ; 37.443,87 ; 69.173,60 ; 461.157,36 
