;;;;;;;;
UF;Município;Código Escola no INEP;CNPJ;Entidade;Segmento;Número de Alunos;Categoria;Conveniada
AC;CRUZEIRO DO SUL;12021466;1949095000157;ESC ASSOCIACAO DE PAIS E AMIGOS EXCEPCIONAIS APAE;EDUCAÇÃO ESPECIAL CONVENIADA - EJA FUNDAMENTAL ; 15 ;Filantrópica;Estadual
AC;RIO BRANCO;12010863;;ESC DR ARTHUR CHALUB LEITE;EDUCAÇÃO ESPECIAL CONVENIADA - EJA FUNDAMENTAL ; 139 ;Filantrópica;Estadual
AM;CAREIRO;13070878;76584259000431;CENTRO DE EDUCACAO INFANTIL BOM PASTOR;CRECHE PARCIAL CONVENIADA; 49 ;Filantrópica;Municipal
AM;CAREIRO;13070878;76584259000431;CENTRO DE EDUCACAO INFANTIL BOM PASTOR;PRÉ-ESCOLA PARCIAL CONVENIADA; 67 ;Filantrópica;Municipal
AM;CAREIRO;13070878;76584259000431;CENTRO DE EDUCACAO INFANTIL BOM PASTOR;EDUCAÇÃO ESPECIAL CONVENIADA - CRECHE ; 8 ;Filantrópica;Municipal
AM;CAREIRO;13070878;76584259000431;CENTRO DE EDUCACAO INFANTIL BOM PASTOR;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 6 ;Filantrópica;Municipal
AM;MANACAPURU;13072765;;CENTRO DE EDUCACAO ESPECIAL SOLIMOES;EDUCAÇÃO ESPECIAL CONVENIADA - FUNDAMENTAL CAMPO; 32 ;Filantrópica;Municipal
AM;MANACAPURU;13072765;;CENTRO DE EDUCACAO ESPECIAL SOLIMOES;EDUCAÇÃO ESPECIAL CONVENIADA - EJA FUNDAMENTAL CAMPO; 115 ;Filantrópica;Municipal
AM;MANAUS;13105388;1696221000109;ESCOLA ESPIRITA ALLAN KARDEC - EEAK;PRÉ-ESCOLA PARCIAL CONVENIADA; 14 ;Filantrópica;Municipal
AM;MANAUS;13105388;1696221000109;ESCOLA ESPIRITA ALLAN KARDEC - EEAK;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 1 ;Filantrópica;Municipal
AM;MANAUS;13031821;;INSTITUTO FILIPPO SMALDONE;CRECHE PARCIAL CONVENIADA; 26 ;Filantrópica;Municipal
AM;MANAUS;13031821;;INSTITUTO FILIPPO SMALDONE;PRÉ-ESCOLA PARCIAL CONVENIADA; 71 ;Filantrópica;Municipal
AM;MANAUS;13031821;;INSTITUTO FILIPPO SMALDONE;EDUCAÇÃO ESPECIAL CONVENIADA - CRECHE ; 1 ;Filantrópica;Municipal
AM;MANAUS;13031821;;INSTITUTO FILIPPO SMALDONE;EDUCAÇÃO BILÍGUE DE SURDOS CONVENIADA - PRÉ-ESCOLA ; 5 ;Filantrópica;Municipal
AM;MANAUS;13071580;;JARDIM DA INFANCIA CASA DA CRIANCA;CRECHE INTEGRAL CONVENIADA; 155 ;Filantrópica;Municipal
AM;MANAUS;13071580;;JARDIM DA INFANCIA CASA DA CRIANCA;PRÉ-ESCOLA PARCIAL CONVENIADA; 125 ;Filantrópica;Municipal
AM;MANAUS;13071580;;JARDIM DA INFANCIA CASA DA CRIANCA;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 11 ;Filantrópica;Municipal
AM;MANICORE;13053205;;ASSOCIACAO PESTALOZZI DE MANICORE;EDUCAÇÃO ESPECIAL CONVENIADA - FUNDAMENTAL ; 8 ;Filantrópica;Municipal
AM;MANICORE;13053205;;ASSOCIACAO PESTALOZZI DE MANICORE;EDUCAÇÃO ESPECIAL CONVENIADA - EJA FUNDAMENTAL ; 54 ;Filantrópica;Municipal
AP;MACAPA;16004051;23088594000130;ESC FAMILIA AGRICOLA DO PACUI;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 38 ;Comunitária;Estadual e Municipal
AP;MACAPA;16004051;23088594000130;ESC FAMILIA AGRICOLA DO PACUI;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA ESPECIAL; 1 ;Comunitária;Estadual e Municipal
AP;MACAPA;16002903;;ESC LOBINHO ANTONIO SERGIO MACHADO DE ALMEIDA;PRÉ-ESCOLA PARCIAL CONVENIADA; 34 ;Filantrópica;Municipal
