ESCOLAS PÚBLICAS E CONVENIADAS QUE OFERECEM ATENDIMENTO EDUCACIONAL ESPECIALIZADO E MATRÍCULAS CONSIDERADAS NO FUNDEB 2026;;;;;;;;
UF;Município;Dependência Administrativa;Código Entidade no INEP;Entidade;Segmento;Alunos Contemplados;Categoria;Conveniada
AC;ACRELANDIA;MUNICIPAL;12008966;ESC ALTINA MAGALHAES DA SILVA;AEE - FUNDAMENTAL; 18 ;;
AC;ACRELANDIA;MUNICIPAL;12023582;ESC BOM JESUS;AEE - FUNDAMENTAL; 4 ;;
AC;ACRELANDIA;MUNICIPAL;12023582;ESC BOM JESUS;AEE - INFANTIL; 4 ;;
AC;ACRELANDIA;MUNICIPAL;12020613;ESC BRANCA DE NEVE;AEE - INFANTIL; 28 ;;
AC;ACRELANDIA;ESTADUAL;12021768;ESC MARCILIO PONTES DOS SANTOS;AEE - MÉDIO; 32 ;;
AC;ACRELANDIA;ESTADUAL;12009164;ESC MARIA DE JESUS RIBEIRO;AEE - FUNDAMENTAL; 7 ;;
AC;ACRELANDIA;MUNICIPAL;12023531;ESC NOVO HORIZONTE;AEE - FUNDAMENTAL; 42 ;;
AC;ACRELANDIA;ESTADUAL;12009229;ESC PROF PEDRO DE CASTRO MEIRELES;AEE - FUNDAMENTAL; 32 ;;
AC;ACRELANDIA;MUNICIPAL;12048224;ESC RITA BOCALOM;AEE - FUNDAMENTAL; 39 ;;
AC;ACRELANDIA;ESTADUAL;12018422;ESC SANTA LUCIA III;AEE - FUNDAMENTAL; 10 ;;
AC;ACRELANDIA;ESTADUAL;12018422;ESC SANTA LUCIA III;AEE - MÉDIO; 4 ;;
AC;ASSIS BRASIL;MUNICIPAL;12015873;ESC EDILSA MARIA BATISTA;AEE - FUNDAMENTAL; 27 ;;
AC;ASSIS BRASIL;ESTADUAL;12034649;ESC JOAQUIM RODRIGUES CARDILHA;AEE - FUNDAMENTAL; 11 ;;
AC;ASSIS BRASIL;MUNICIPAL;12030244;ESC MARIA FERREIRA DA SILVA;AEE - FUNDAMENTAL; 28 ;;
AC;ASSIS BRASIL;ESTADUAL;12015946;ESC PROFª IRIS CELIA CABANELLAS ZANNINI;AEE - FUNDAMENTAL; 22 ;;
AC;ASSIS BRASIL;ESTADUAL;12015946;ESC PROFª IRIS CELIA CABANELLAS ZANNINI;AEE - MÉDIO; 14 ;;
AC;ASSIS BRASIL;ESTADUAL;12028223;ESC SANDOVAL BATISTA DE ARAUJO;AEE - FUNDAMENTAL; 3 ;;
