;;;;;;;;
ESCOLAS DE EDUCAÇÃO PROFISSIONAL E MATRÍCULAS CONSIDERADAS NO FUNDEB 2026;;;;;;;;
UF;Município;Código da Escola no INEP;CNPJ;Entidade;Segmento;Categoria;Conveniada; Número de Alunos 
AC;ACRELANDIA;12021768;;ESC MARCILIO PONTES DOS SANTOS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;253,00
AC;ACRELANDIA;12128236;;ESC FAMILIA AGRICOLA JEAN PIERRE MINGAN;CONCOMITANTE AO ENS. MÉDIO;Pública;Não se aplica;28,00
AC;ACRELANDIA;12128236;;ESC FAMILIA AGRICOLA JEAN PIERRE MINGAN;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;71,00
AC;ASSIS BRASIL;12015946;;ESC PROFª IRIS CELIA CABANELLAS ZANNINI;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;20,00
AC;ASSIS BRASIL;12015946;;ESC PROFª IRIS CELIA CABANELLAS ZANNINI;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;283,00
AC;BRASILEIA;12034568;;ESC MARIA DAS GRACAS ROCHA RODRIGUES;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;62,00
AC;BUJARI;12009369;;ESC SAO JOAO BATISTA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;153,00
AC;BUJARI;12009555;;ESC PEDRO GOMES DE LIMA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;CAPIXABA;12009725;;ESC ARGENTINA PEREIRA FEITOSA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;212,00
AC;CAPIXABA;12009725;;ESC ARGENTINA PEREIRA FEITOSA;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;22,00
AC;CAPIXABA;12023396;;ESC NOVA ESPERANCA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;41,00
AC;CAPIXABA;12030899;;ESC ARISTON FERREIRA DA CUNHA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;43,00
AC;CRUZEIRO DO SUL;12000442;;ESC COMANDANTE BRAZ DE AGUIAR;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;2,00
AC;CRUZEIRO DO SUL;12000450;;ESC CRAVEIRO COSTA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;28,00
AC;CRUZEIRO DO SUL;12000531;;ESC DR VALERIO CALDAS DE MAGALHAES;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;136,00
AC;CRUZEIRO DO SUL;12000736;;ESC JOAO KUBITSCHEK;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;40,00
AC;CRUZEIRO DO SUL;12000906;;ESC JUAREZ IBERNON;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;CRUZEIRO DO SUL;12000914;;ESC CIVICO-MILITAR MADRE ADELGUNDES BECKER;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;467,00
AC;CRUZEIRO DO SUL;12000930;;ESC MANOEL BRAZ DE MELO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;114,00
AC;CRUZEIRO DO SUL;12001015;;ESC MARIA DE NAZARE SANTIAGO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;CRUZEIRO DO SUL;12001554;;ESC SANTA LUZIA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;CRUZEIRO DO SUL;12033537;;COLEGIO MILITAR ESTADUAL DOM PEDRO II - CZS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;25,00
AC;EPITACIOLANDIA;12017060;;ESC LUIZ GONZAGA DA ROCHA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;86,00
AC;EPITACIOLANDIA;12017108;;ESC CIVICO-MILITAR JOANA RIBEIRO AMED;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;38,00
AC;EPITACIOLANDIA;12031674;;ESC BELO PORVIR;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;3,00
AC;FEIJO;12004170;;ESC RAIMUNDO AUGUSTO DE ARAUJO;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;29,00
AC;FEIJO;12004197;;ESC JOSE GURGEL RABELLO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;37,00
AC;FEIJO;12005037;;ESC VICENTE CELSO BRANDAO;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;11,00
AC;JORDAO;12005240;;ESC MANOEL RODRIGUES DE FARIAS;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;21,00
AC;JORDAO;12030155;;ESC JAIRO DE FIGUEIREDO MELO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;50,00
AC;MANCIO LIMA;12001945;;ESC ANTONIO OLIVEIRA DANTAS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;62,00
AC;MANCIO LIMA;12033421;;ESC MARIA FIRMINO CHAVES;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;2,00
AC;MANOEL URBANO;12006920;;ESC NAZIRA ANUTE DE LIMA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;3,00
AC;MANOEL URBANO;12006920;;ESC NAZIRA ANUTE DE LIMA;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;33,00
AC;MARECHAL THAUMATURGO;12026328;;ESC ELVIRA FERREIRA GOMES;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;440,00
AC;MARECHAL THAUMATURGO;12033189;;ESC GERALDO PINTO CORREIA FILHO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;PLACIDO DE CASTRO;12010189;;ESC FRANKLIN ROOSEVELT;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;35,00
AC;PLACIDO DE CASTRO;12023779;;ESC JOAO RICARDO DE FREITAS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;329,00
AC;PLACIDO DE CASTRO;12031453;;ESC CENTRO DE EDUCACAO PROFISSIONAL E TECNOLOGICO JOAO DE DE;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;1,00
AC;PORTO ACRE;12015326;;ESC CEL JOSE PLACIDO DE CASTRO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;80,00
AC;PORTO ACRE;12015334;;ESC EDMUNDO PINTO DE ALMEIDA NETO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;36,00
AC;PORTO ACRE;12015334;;ESC EDMUNDO PINTO DE ALMEIDA NETO;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;43,00
AC;PORTO ACRE;12015342;;ESC JADER SARAIVA MACHADO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;61,00
AC;PORTO WALTER;12003050;;ESC BORGES DE AQUINO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;371,00
AC;RIO BRANCO;12011142;;ESC ANTONIA FERNANDES DE FREITAS;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;104,00
AC;RIO BRANCO;12011428;;ESC COLEGIO ACREANO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
