Categorias e Variáveis (Métrica e dimensões);Detalhes;Categorias Implementada no Extrator;Categorias Internas do Banco de Dados;Varáveis Disponíveis no Banco de Dados;Variáveis Internas do Banco de Dados
D21 - Região Geográfica;Grandes Regiões Geográficas;Região Norte;RENO;REG;REG
D21 - Região Geográfica;Grandes Regiões Geográficas;Região Centro-Oeste;RECO;REG;REG
D21 - Região Geográfica;Grandes Regiões Geográficas;Região Nordeste;RENE;REG;REG
D21 - Região Geográfica;Grandes Regiões Geográficas;Região Sudeste;RESE;REG;REG
D21 - Região Geográfica;Grandes Regiões Geográficas;Região Sul;RSUL;REG;REG
D15 - Metropolitana ou Urbana ou Rural;Situação Censitária (Metropolitana ou Urbana ou Rural);Metropolitano;METR;REG1;REG1
D15 - Metropolitana ou Urbana ou Rural;Situação Censitária (Metropolitana ou Urbana ou Rural);Urbana;URBA;REG1;REG1
D15 - Metropolitana ou Urbana ou Rural;Situação Censitária (Metropolitana ou Urbana ou Rural);Rural;RURA;REG1;REG1
D14 - Metropolitana ou Não-Metropolitana;Situação Censitária – Categórica (Metropolitana ou Não-Metropolitana) ;Metropolitana;METR;REG2;REG2
D14 - Metropolitana ou Não-Metropolitana;Situação Censitária – Categórica (Metropolitana ou Não-Metropolitana) ;Não Metropolitana;NMET;REG2;REG2
D22 - Saber Ler e Escrever;Variável Binária - Saber Ler e Escrever;Sim;1;SABE_LER;SABE_LER
D22 - Saber Ler e Escrever;Variável Binária - Saber Ler e Escrever;Não;0;SABE_LER;SABE_LER
D20 - Posição na Ocupação;Posição na ocupação no trabalho principal da semana de referência;Empregado com carteira Assinada;1;pos_ocup;POSOCUP
D20 - Posição na Ocupação;Posição na ocupação no trabalho principal da semana de referência;Empregado sem carteira Assinada;2;pos_ocup;POSOCUP
D20 - Posição na Ocupação;Posição na ocupação no trabalho principal da semana de referência;Trabalho por conta própria;3;pos_ocup;POSOCUP
D20 - Posição na Ocupação;Posição na ocupação no trabalho principal da semana de referência;Empregador;4;pos_ocup;POSOCUP
D20 - Posição na Ocupação;Posição na ocupação no trabalho principal da semana de referência;Trabalho não remunerado;5;pos_ocup;POSOCUP
D20 - Posição na Ocupação;Posição na ocupação no trabalho principal da semana de referência;Empregado Doméstico com Carteira Assinada;6;pos_ocup;POSOCUP
D20 - Posição na Ocupação;Posição na ocupação no trabalho principal da semana de referência;Empregado Doméstico sem Carteira Assinada;7;pos_ocup;POSOCUP
D20 - Posição na Ocupação;Posição na ocupação no trabalho principal da semana de referência;Trabalho para consumo próprio;9;pos_ocup;POSOCUP
D20 - Posição na Ocupação;Posição na ocupação no trabalho principal da semana de referência;Construção para uso próprio;10;pos_ocup;POSOCUP
D20 - Posição na Ocupação;Posição na ocupação no trabalho principal da semana de referência;Empregado público estatutário ou militar;11;pos_ocup;POSOCUP
D20 - Posição na Ocupação;Posição na ocupação no trabalho principal da semana de referência;Outros;99;pos_ocup;POSOCUP
D05 - Contribuição à Previdência;Variável Binária - Era contribuinte de instituto de previdência;Sim;1;PREV;PREV
D05 - Contribuição à Previdência;Variável Binária - Era contribuinte de instituto de previdência;Não;0;PREV;PREV
Binária - Era contribuinte de alguma entidade de previdência privada, no mês de referência;Binária - Era contribuinte de alguma entidade de previdência privada, no mês de referência;Sim;1;PREV_PRI;PREV_PRI
Binária - Era contribuinte de alguma entidade de previdência privada, no mês de referência;Binária - Era contribuinte de alguma entidade de previdência privada, no mês de referência;Não;0;PREV_PRI;PREV_PRI
D17 - PIA - Maiores de 10 anos;População em Idade Ativa - Maiores de 10 anos;Ativo (mais de 10 anos de idade);1;pia;PIA
D17 - PIA - Maiores de 10 anos;População em Idade Ativa - Maiores de 10 anos;Não ativo (mais de 10 anos de idade);0;pia;PIA
D18 - PIA - Maiores de 15 anos;População em Idade Ativa - Maiores de 15 anos;Ativo (mais de 15 anos de idade);1;pia1;PIA1
D18 - PIA - Maiores de 15 anos;População em Idade Ativa - Maiores de 15 anos;Não ativo (mais de 15 anos de idade);0;pia1;PIA1
