id_tabela,nome_coluna,chave,cobertura_temporal,valor
turma,rede,1,(1),Federal
matricula,rede,1,(1),Federal
docente,rede,1,(1),Federal
escola,rede,1,(1),Federal
docente,rede,4,(1),Privada
turma,rede,4,(1),Privada
matricula,rede,4,(1),Privada
escola,rede,4,(1),Privada
matricula,rede,2,(1),Estadual
escola,rede,2,(1),Estadual
turma,rede,2,(1),Estadual
docente,rede,2,(1),Estadual
escola,rede,3,(1),Municipal
matricula,rede,3,(1),Municipal
docente,rede,3,(1),Municipal
turma,rede,3,(1),Municipal
docente,sexo,2,(1),Feminino
matricula,sexo,2,(1),Feminino
matricula,sexo,1,(1),Masculino
docente,sexo,1,(1),Masculino
matricula,raca_cor,3,(1),Parda
docente,raca_cor,3,(1),Parda
matricula,raca_cor,2,(1),Preta
docente,raca_cor,2,(1),Preta
docente,raca_cor,1,(1),Branca
matricula,raca_cor,1,(1),Branca
docente,raca_cor,4,(1),Amarela
matricula,raca_cor,4,(1),Amarela
docente,raca_cor,5,(1),Indígena
matricula,raca_cor,5,(1),Indígena
matricula,raca_cor,0,(1),Não declarada
docente,raca_cor,0,(1),Não declarada
escola,tipo_aee,0,(1),Não oferece
escola,tipo_aee,2,(1),Exclusivamente
escola,tipo_aee,1,(1),Não exclusivamente
matricula,unificada,0,(1),Não
matricula,unificada,3,(1),Multi
matricula,unificada,1,(1),Unificada
matricula,unificada,2,(1),Multietapa
matricula,unificada,4,(1),Correção de Fluxo
matricula,unificada,5,(1),Mista (concomitante e subsequente)
docente,tipo_ies_1,2,(1),Privada
docente,tipo_ies_1,1,(1),Pública
docente,tipo_ies_2,2,(1),Privada
docente,tipo_ies_2,1,(1),Pública
docente,tipo_ies_3,2,(1),Privada
docente,tipo_ies_3,1,(1),Pública
docente,tipo_turma,0,(1)2018,Não se aplica
matricula,tipo_turma,0,(1)2018,Não se aplica
turma,tipo_turma,0,(1)2018,Não se aplica
matricula,tipo_turma,1,(1)2018,Classe Hospitalar
docente,tipo_turma,1,(1)2018,Classe Hospitalar
turma,tipo_turma,1,(1)2018,Classe Hospitalar
matricula,tipo_turma,3,(1)2018,Unidade Prisional
docente,tipo_turma,3,(1)2018,Unidade Prisional
turma,tipo_turma,3,(1)2018,Unidade Prisional
matricula,tipo_turma,4,(1)2018,Atendimento Complementar
turma,tipo_turma,4,(1)2018,Atendimento Complementar
docente,tipo_turma,4,(1)2018,Atendimento Complementar
docente,tipo_turma,2,(1),Unidade de Internação Socioeducativa
matricula,tipo_turma,2,(1),Unidade de Internação Socioeducativa
turma,tipo_turma,2,(1),Unidade de Internação Socioeducativa
matricula,tipo_turma,5,(1)2018,Atendimento Educacional Especializado (AEE)
docente,tipo_turma,5,(1)2018,Atendimento Educacional Especializado (AEE)
turma,tipo_turma,5,(1)2018,Atendimento Educacional Especializado (AEE)
docente,escolaridade,3,2015(1),Ensino Médio
docente,escolaridade,5,2009(1)2014,Ensino Médio
docente,escolaridade,2,(1),Fundamental Completo
docente,escolaridade,1,(1),Fundamental Incompleto
docente,escolaridade,6,2009(1)2010,Ensino Superior Completo
docente,escolaridade,4,2015(1),Ensino Superior Completo
docente,escolaridade,3,2009(1)2014,Ensino Médio - Normal/Magistério
docente,escolaridade,6,2011(1)2014,Ensino Superior (Concluído ou em Andamento)
docente,escolaridade,4,2009(1)2014,Ensino Médio - Normal/Magistério Específico Indígena
docente,etapa_ensino,71,2015(1),EJA - Ensino Médio
turma,etapa_ensino,71,2015(1),EJA - Ensino Médio
matricula,etapa_ensino,71,2015(1),EJA - Ensino Médio
turma,etapa_ensino,68,2015(1),Curso FIC Concomitante
matricula,etapa_ensino,68,2015(1),Curso FIC Concomitante
docente,etapa_ensino,68,2015(1),Curso FIC Concomitante
docente,etapa_ensino,1,(1),Educação Infantil - Creche
turma,etapa_ensino,1,(1),Educação Infantil - Creche
matricula,etapa_ensino,1,(1),Educação Infantil - Creche
