"Tabela 2 - Proporção de pessoas de 15 a 24 anos de idade, com menos de",,,,,,
" 4 anos de estudo, por Grandes Regiões e sexo, segundo os grupos de idade",,,,,,
Brasil e Grandes Regiões - 1997,,,,,,
,,,,,,
,"Proporção de pessoas de 10 a 24 anos de idade,
com menos de 4 anos de estudo (%)",,,,,
,Brasil (1),Norte (2),Nordeste,Sudeste,Sul,"Centro-
Oeste"
,,,,,,
Total,,,,,,
15 a 17 anos,"20,2","20,5","39,2","10,6","8,3","14,4"
18 anos,"18,1","15,5","34,4","11,5","7,9","12,7"
19 anos,"17,6","16,0","34,6","9,9","8,3","13,0"
20 a 24 anos,"18,9","17,0","34,1","12,2","10,4","15,2"
Homens,,,,,,
15 a 17 anos,"24,2","24,8","47,2","12,5","9,3","17,1"
18 anos,"22,0","18,2","43,8","11,7","6,4","14,9"
19 anos,"20,3","17,3","43,0","10,5","8,8","14,0"
20 a 24 anos,"21,9","14,4","41,5","13,0","11,3","19,5"
Mulheres,,,,,,
15 a 17 anos,"16,2","16,3","31,0","8,6","7,3","11,6"
18 anos,"14,1","13,0","25,1","8,1","9,5","10,8"
19 anos,"14,9","14,7","26,3","9,7","7,7","12,1"
20 a 24 anos,"16,0","14,8","27,0","11,5","9,6","11,1"
,,,,,,
"Fonte: Pesquisa nacional por amostra de domicílios 1997 [CD-ROM]. Microdados.  Rio de Janeiro: IBGE, 1998.",,,,,,
"(1) Exclusive a população rural de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.  (2) Exclusive a popu-",,,,,,
lação rural.,,,,,,
