"Tabela 4 - Média de anos de estudo das pessoas de 10 a 24 anos de idade,",,,,,,,,
"por grupos de idade e renda mensal familiar per capita, segundo as Grande Regiões",,,,,,,,
Brasil e Grandes Regiões - 1997,,,,,,,,
,,,,,,,,
,"Média de anos de estudo das pessoas de 10 a 24 anos de idade,
por grupos de idade e renda mensal familiar per capita",,,,,,,
,10 a 11 anos,,12 a 14 anos,,15 a 17 anos,,18 a 24 anos,
,"Até 1/4
do 
salário
mínimo","Mais
de 2
salários
mínimos","Até 1/4
do 
salário
mínimo","Mais
de 2
salários
mínimos","Até 1/4
do 
salário
mínimo","Mais
de 2
salários
mínimos","Até 1/4
do 
salário
mínimo","Mais
de 2
salários
mínimos"
,,,,,,,,
          Brasil (1),"2,3","4,2","3,4","6,4","4,5","8,6","4,6","10,6"
Norte (2),"2,3","4,0","3,5","5,9","5,1","8,1","5,7","10,3"
Nordeste,"2,0","4,0","3,0","6,1","4,0","8,3","4,2","10,6"
Sudeste,"3,0","4,2","4,5","6,5","5,5","8,6","5,6","10,6"
Sul,"3,1","4,5","4,7","6,7","5,5","9,0","5,5","10,7"
Centro-Oeste,"2,7","4,3","4,1","6,5","5,1","8,4","5,6","10,4"
,,,,,,,,
"Fonte: Pesquisa nacional por amostra de domicílios 1997 [CD-ROM]. Microdados.  Rio de Janeiro: IBGE, 1998.",,,,,,,,
"(1) Exclusive a população rural de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.  (2) Exclusive a popu-",,,,,,,,
lação rural.,,,,,,,,
