"Tabela 5 -Taxas de escolarização das pessoas de 4 a 24 anos de idade,",,,,,,
"por grupos de idade e situação do domicílio, segundo as Grandes Regiões",,,,,,
Brasil e Grandes Regiões - 1997,,,,,,
,,,,,,
,"Taxas de escolarização das pessoas de 4 a 24 anos de idade,
por grupos de idade e situação do domicílio",,,,,
,4 anos,"5 e 6
anos","7 a
14 anos","15 a 17
anos","18 e 19
anos",20 a 24 anos
,,,,,,
Total,,,,,,
          Brasil (1),"36,4","66,6","93,0","73,3","45,8","21,9"
Norte (2),"36,1","71,6","91,9","75,9","51,7","27,3"
Nordeste,"44,5","69,8","89,4","69,3","45,4","21,1"
Sudeste,"35,5","67,3","95,5","77,4","47,1","22,5"
Sul,"26,9","60,2","94,9","70,4","40,0","19,6"
Centro-Oeste,"25,1","59,2","93,2","71,1","46,4","22,1"
Urbana,,,,,,
          Brasil (1),"41,0","71,6","94,5","77,1","49,5","24,2"
Norte (2),"36,1","71,6","91,9","75,9","51,7","27,3"
Nordeste,"55,7","77,3","91,7","75,1","52,7","25,2"
Sudeste,"38,9","71,8","96,2","79,8","49,3","23,7"
Sul,"30,9","65,0","95,5","73,9","43,2","22,4"
Centro-Oeste,"28,9","64,1","95,2","74,4","49,5","24,7"
Rural,,,,,,
          Brasil (1),"22,2","51,6","88,0","59,1","30,6","11,6"
Norte (2),"0,0","0,0","0,0","0,0","0,0","0,0"
Nordeste,"28,9","59,1","85,8","59,3","32,5","12,9"
Sudeste,"15,1","41,1","91,2","60,0","28,2","11,6"
Sul,"13,3","44,7","92,7","58,1","28,6","8,4"
Centro-Oeste,"8,0","39,9","84,5","53,4","25,8","8,3"
,,,,,,
"Fonte: Pesquisa nacional por amostra de domicílios 1997 [CD-ROM]. Microdados.  Rio de Janeiro: IBGE, 1998.",,,,,,
"(1) Exclusive a população rural de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.  (2) Exclusive a popu-",,,,,,
lação rural.,,,,,,
